season,team,gp,wins,losses,otl,win_pct,goals_for_pg,goals_against_pg
20232024,Buffalo Sabres,82,39,37,6,0.476,2.98,2.96
20232024,New York Islanders,82,39,27,16,0.476,2.99,3.15
20232024,Philadelphia Flyers,82,38,33,11,0.463,2.82,3.15
20232024,Pittsburgh Penguins,82,38,32,12,0.463,3.09,3.02
20232024,Calgary Flames,82,38,39,5,0.463,3.09,3.26
20232024,New Jersey Devils,82,38,39,5,0.463,3.22,3.43
20232024,Ottawa Senators,82,37,41,4,0.451,3.05,3.43
20232024,Arizona Coyotes,82,36,41,5,0.439,3.1,3.34
20232024,Seattle Kraken,82,34,35,13,0.415,2.61,2.83
20232024,Montréal Canadiens,82,30,36,16,0.366,2.83,3.43
20232024,Columbus Blue Jackets,82,27,43,12,0.329,2.85,3.63
20232024,Anaheim Ducks,82,27,50,5,0.329,2.48,3.57
20232024,Chicago Blackhawks,82,23,53,6,0.28,2.17,3.52
20232024,San Jose Sharks,82,19,54,9,0.232,2.2,3.98
